marca,codigo_interno,codigo_fabrica,nombre,stock
STANLEY,15425,10-789,Cuchillas Retráctiles,0
STANLEY,15426,10-778,Cuchillas Retráctiles,0
STANLEY,15239,10-779,Cuchillas Retráctiles,0
STANLEY,15231,10-499,Cuchillas Retráctiles,0
STANLEY,15427,10-099,Cuchillas Retráctiles,0
STANLEY,14841,10-079,Cuchillas Retráctiles,0
STANLEY,14844,10-175,Cuchillas Retráctiles,0
STANLEY,14847,10-065LA,Cuchillas Retráctiles,0
STANLEY,12346,10-481,Cuchillas Snap-Off 18 mm,0
STANLEY,12347,10-486,Cuchillas Snap-Off din 340,0
STANLEY,12348,10-480S,Cuchillas Snap-Off 18 mm,0
STANLEY,14876,10-418S/stht10321-840,Cuchillas Snap-Off,0
STANLEY,14845,10-150/stht10322-840,Cuchillas Snap-Off 9 mm,0
STANLEY,14846,10-151/stht10323-840,Cuchillas Snap-Off 18 mm,0
STANLEY,15235,11-525,repuesto/cuchilla 5hs Alfombra,0
STANLEY,15236,10-131,Cuchillas Snap-Off 9 mm,0
STANLEY,15237,10-143,Cuchillas Snap-Off 18 mm,0
STANLEY,15238,10-202LA/stht81433-840,Juego de Cuchillas Snap-Off 10-131 y 10-143,0
STANLEY,12349,10-780,Cuchillas de Hoja Fija,0
STANLEY,14842,10-209,Cuchillas de Hoja Fija,0
STANLEY,14859,10-299,Cuchillas de Hoja Fija,0
STANLEY,15232,10-189C,Cuchillas de Seguridad Autoretractil https://www.stanleyworks.es/producto/0-10-189/cutter-autoretractil?tid=569056,0
STANLEY,15220,10-401,Cuchillas Hobby con Mango de Aluminio 144 mm,0
STANLEY,14857,11-921A,Hojas de Repuesto - Contiene 100 Unidades,0
STANLEY,14854,11-921B,Precio por Unidad - Contiene 100 Unidades,0
STANLEY,15224,11-987,Hojas de Repuesto - Blister de 5 hojas,0
STANLEY,14856,11-300,Precio por Unidad - Contiene 10 Unidades 9 mm,0
STANLEY,14855,11-301,Precio por Unidad - Contiene 3 Unidades 18 mm,0
STANLEY,15183,14-125,Corta Vidrios,0
STANLEY,14889,15-334,"Serrucho para Caja de Herramientas 15""",0
STANLEY,14887,15-335,"Serrucho Corte Cruzado 20""",0
STANLEY,14924,15-558,"Serrucho Profesional 18""",0
STANLEY,14925,15-559,"Serrucho Profesional 20""",0
STANLEY,14926,15-560,"Serrucho Profesional 22""",0
STANLEY,14927,15-561,"Serrucho Profesional 24""",0
STANLEY,14928,15-562,"Serrucho Profesional 26""",0
STANLEY,14895,15-469,"Serrucho Luctador 16""",0
STANLEY,14890,15-470,"Serrucho Luctador 18""",0
STANLEY,14891,15-471,"Serrucho Luctador 20""",0
STANLEY,14892,15-472,"Serrucho Luctador 22""",0
STANLEY,14893,15-473,"Serrucho Luctador 24""",0
STANLEY,14894,15-474,"Serrucho Luctador 26""",0
STANLEY,12350,20-145,"Serrucho Carpintero Universal 15""",0
STANLEY,12351,20-146,"Serrucho Carpintero Universal 20""",0
STANLEY,12352,20-147,"Serrucho Carpintero Universal 22""",0
STANLEY,14896,15-884,"Serruchos de Costilla 12""",0
STANLEY,14897,15-886,"Serruchos de Costilla 14""",0
STANLEY,14902,15-556,Serruchos para Tablaroca,0
STANLEY,14898,15-675,"Sierras de Podar 12""",0
STANLEY,14899,15-676,"Sierras de Podar 14""",0
STANLEY,14040,20-800,Cajas de Inglete con Serrucho,0
STANLEY,14027,20-112,Cajas de Inglete sin Serrucho,0
STANLEY,14028,20-600,Cajas de Inglete con Serrucho,0
STANLEY,14043,STHT19212S,Cajas de Inglete sin Serrucho,0
STANLEY,14881,15-106,Serruchos de Calar,0
STANLEY,14849,15-058,Hoja para Serruchos de Calar 10 dtes.,0
STANLEY,14850,15-059,Hoja para Serruchos de Calar 20 dtes.,0
STANLEY,14852,15-061,Hoja para Serruchos de Calar 15 dts.,0
STANLEY,14906,15-098,Arcos de Sierra 305 mm,0
STANLEY,14905,20-206,Arcos de Sierra,0
STANLEY,14908,15-200,Arcos de Sierra 305 mm,0
STANLEY,12065,20-807,Mini Arcos de Sierra,0
STANLEY,12066,15-381,"Arcos de Talar 21""",0
STANLEY,12067,15-384,"Arcos de Talar 24""",0
STANLEY,12068,15-387,"Arcos de Talar 30""",0
STANLEY,14865,15-382,"Hoja para Arco de Talar 21""",0
STANLEY,14866,15-385,"Hoja para Arco de Talar 24""",0
STANLEY,14867,15-388,"Hoja para Arco de Talar 30""",0
STANLEY,15180,59-020,Hachas,0
STANLEY,15173,70-042,Tijeras para podar,0
STANLEY,15172,14-302,Tijeras de una mano para podar,0
STANLEY,14990,14-562,Tijeras de Aviacion Izquierda,0
STANLEY,14991,14-563,Tijeras de Aviacion Centro,0
STANLEY,14992,14-564,Tijeras de Aviacion Derecha,0
STANLEY,15169,14-566,Tijeras de Hojalatero,0
STANLEY,15045,14-371LA,"Corta Pernos 8""",0
STANLEY,15046,95-562,"Corta Pernos 12""",0
STANLEY,15047,95-563LA,"Corta Pernos 14""",0
STANLEY,15048,95-564LA,"Corta Pernos 18""",0
STANLEY,15049,95-565LA,"Corta Pernos 24""",0
STANLEY,15050,95-566LA,"Corta Pernos 30""",0
STANLEY,15051,95-567,"Corta Pernos 36""",0
STANLEY,14638,93-021,Corta Tubos 3-32mm,0
STANLEY,14631,93-020,Corta Tubos 3-30mm,0
STANLEY,14635,93-033,Corta Tubos 3-15mm,0
STANLEY,15040,14-442,Corta Tubos para PVC,0
STANLEY,14636,93-040,Juego de Abocinador,0
STANLEY,14637,87-448,Llave de Lavatorio,0
STANLEY,14914,12-163,"Cepillos 3""",0
STANLEY,14915,12-164,"Cepillos 4""",0
STANLEY,14916,12-165,"Cepillos 5""",0
STANLEY,14835,12-210,Cepillo Block,0
STANLEY,14829,12-101,Cepillo pequeño para desbaste,0
STANLEY,14860,1-12-312,Cuchilla de repuesto para Cepillo # 3,0
STANLEY,14861,12-313,Cuchilla de repuesto para Cepillo # 4 y 5,0
STANLEY,14922,1-12-325,Cuchilla de repuesto para Cepillo # 6,0
STANLEY,14826,21-296,Cepillo Surform,0
STANLEY,14839,21-295,Escofina Surform,0
STANLEY,14816,21-399,Cepillo Surform de bolsillo,0
STANLEY,14817,21-115,Raspador Surform,0
STANLEY,14827,21-293,Hoja Surform,0
STANLEY,14045,28-080S,"Espátulas 1.1/2""",0
STANLEY,14046,28-081S,"Espátulas 2""",0
STANLEY,14044,28-082S,"Espátulas 2.1/2""",0
STANLEY,14047,28-083S,"Espátulas 3""",0
STANLEY,14048,28-084S,"Espátulas 4""",0
STANLEY,14049,28-085S,"Espátulas 5""",0
STANLEY,12315,28-036S,"Espátulas 8""",0
STANLEY,12316,28-037,"Espátulas 10""",0
STANLEY,12317,28-038S,"Espátulas 12""",0
STANLEY,14051,28-100,Mini Raspador,0
STANLEY,14052,28-500,Raspador de hojas intercambiables,0
STANLEY,14056,28-619,Raspador de pintura,0
STANLEY,14055,28-593,Raspador de ventanas,0
STANLEY,12353,21-112,Cepillo de cerdas metalicas,0
STANLEY,14053,28-510,Hojas de Repuesto P/Raspador 28-500,0
STANLEY,14083,1-77-174,Rueda Medidoras 1 Rueda 10000 mts,0
STANLEY,14084,1-77-175,Rueda Medidoras 2 Ruedas 1000 mts,0
STANLEY,13543,42-240,"Nivel Profesional 24""",0
STANLEY,13545,42-480,"Nivel Profesional 48""",0
STANLEY,13540,42-244,Nivel Profesional Magnetico 609mm,0
STANLEY,13541,42-486,Nivel Profesional Magnetico 1219mm,0
STANLEY,14066,42-466,"Nivel de Resina Estructural  IVA 10,5 12""",0
STANLEY,14061,42-467,"Nivel de Resina Estructural  IVA 10,5 18""",0
STANLEY,14062,42-468S,"Nivel de Resina Estructural  IVA 10,5 24""",0
STANLEY,14091,STHT42072-LA,"Nivel de Aluminio  IVA 10,5 12""",0
STANLEY,14092,STHT42073-LA,"Nivel de Aluminio  IVA 10,5 18""",0
STANLEY,14098,STHT42074-LA,"Nivel de Aluminio  IVA 10,5 24""",0
STANLEY,14099,STHT42075-LA,"Nivel de Aluminio  IVA 10,5 36""",0
STANLEY,14079,STHT42076-LA,"Nivel de Aluminio  IVA 10,5 48""",0
STANLEY,14070,42-294,"Nivel Torpedo Magnetico IVA 10,5 203mm",0
STANLEY,13542,42-291,"Nivel Torpedo Magnetico IVA 10,5 203mm",0
STANLEY,14064,42-287,"Nivel de linea Metalico   IVA 10,5 79mm",0
STANLEY,14067,42-193,"Nivel de linea Plastico   IVA 10,5",0
STANLEY,12354,45-300,Escuadra de carpintero de aluminio 610x405,0
STANLEY,12355,45-600,Escuadra de carpintero de acero 610x510,0
STANLEY,12356,45-500,Escuadra de carpintero de acero 610x405,0
STANLEY,12357,45-912,Escuadra de carpintero de acero 305x203,0
STANLEY,12358,45-011,Escuadra Profesional de Techero 610x405,0
STANLEY,12359,45-910,Escuadra de Techero 610x405,0
STANLEY,14203,46-028,Escuadra de Combinacion Profesional 305mm,0
STANLEY,12319,46-038,Escuadra economica 203mm,0
STANLEY,12320,46-039,Escuadra economica 254mm,0
STANLEY,12321,46-040,Escuadra economica 305mm,0
STANLEY,14201,46-830,Falsa escuadra,0
STANLEY,15001,47-440,Tiza Líneas 30 mts.,0
STANLEY,15008,47-443,Juegos de Marcador - Tiza  y Nivel,0
STANLEY,15009,47-442,Juegos de Tiza Líneas y Tizas,0
STANLEY,15006,47-803,Botella de Tiza de 8 onzas azul,0
STANLEY,15019,DWHT47048L,Botella de Tiza de 8 onzas DEWALT roja,0
STANLEY,14840,47-350,Lapices para Carpinteria,0
STANLEY,13456,51-505,Martillo mango de fibra de vidrio 450 grs.,0
STANLEY,15165,54-716,Martillo de Bola con mango de grafito 450 grs.,0
STANLEY,14998,51-081,Martillo mango de acero 450 grs.,0
STANLEY,14999,51-082,Martillo mango de acero 576 grs.,0
STANLEY,14985,51-271/stht51370-840,Martillo con mango de madera cabeza conica 450 grs.,0
STANLEY,14986,51-274/stht51371-840,Martillo con mango de madera cabeza conica 570 grs.,0
STANLEY,14982,54-304,Martillo para Tapicero con punta magnetica 200 grs.,0
STANLEY,15100,54-189,Martillo de Bola 230 grs.,0
STANLEY,15101,54-190,Martillo de Bola 340 grs.,0
STANLEY,15102,54-191,Martillo de Bola 450 grs.,0
STANLEY,15103,54-192,Martillo de Bola 680 grs.,0
STANLEY,15104,54-193,Martillo de Bola 910 grs.,0
STANLEY,15105,54-194,Martillo de Bola 1200 grs.,0
STANLEY,15117,56-399,Maza Octogonal .9 kg.,0
STANLEY,15123,56-400,Maza Octogonal 1.4 kg.,0
